Crash ID,Crash Severity,Crash Time,Day of Week,Manner of Collision,Speed Limit,Surface Condition,Surface Type,Surface Width,Weather Condition,Vehicle Body Style,Person Age,Person Alcohol Result,Person Drug Test Result,Person Ethnicity,Person Gender,y
19764450,N - NOT INJURED,07:23:00,TUESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,45,1 - DRY,No Data,40,1 - CLEAR,PK - PICKUP,,No Data,,W - WHITE,1 - MALE,17
19597014,A - SUSPECTED SERIOUS INJURY,17:25:00,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,60,1 - DRY,No Data,24,1 - CLEAR,PK - PICKUP,31,No Data,No Data,H - HISPANIC,1 - MALE,70
19682443,B - SUSPECTED MINOR INJURY,05:38:00,SATURDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",25,,,H - HISPANIC,1 - MALE,97
19599781,N - NOT INJURED,06:32:00,TUESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,No Data,2 - CLOUDY,PK - PICKUP,15,No Data,No Data,H - HISPANIC,1 - MALE,69
19573109,B - SUSPECTED MINOR INJURY,12:23:00,SATURDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,45,1 - DRY,No Data,72,,TR - TRUCK,31,No Data,No Data,W - WHITE,2 - FEMALE,56
19660185,N - NOT INJURED,11:32:00,WEDNESDAY,OPPOSITE DIRECTION - ONE RIGHT TURN-ONE LEFT TURN,50,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",24,No Data,97 - NOT APPLICABLE,W - WHITE,,39
19761936,B - SUSPECTED MINOR INJURY,09:16:00,SATURDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,30,1 - DRY,No Data,No Data,1 - CLEAR,No Data,39,,97 - NOT APPLICABLE,W - WHITE,1 - MALE,40
19689546,B - SUSPECTED MINOR INJURY,23:15:00,SATURDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,30,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,77
19570875,99 - UNKNOWN,19:15:00,SATURDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,30,99 - UNKNOWN,No Data,,99 - UNKNOWN,VN - VAN,31,No Data,97 - NOT APPLICABLE,B - BLACK,,28
19645151,B - SUSPECTED MINOR INJURY,06:49:00,,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,55,1 - DRY,No Data,,,SV - SPORT UTILITY VEHICLE,25,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,93
19625345,N - NOT INJURED,,SUNDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,45,1 - DRY,No Data,48,1 - CLEAR,SV - SPORT UTILITY VEHICLE,41,,97 - NOT APPLICABLE,W - WHITE,1 - MALE,85
19618542,B - SUSPECTED MINOR INJURY,11:33:00,SUNDAY,ANGLE - BOTH GOING STRAIGHT,50,1 - DRY,No Data,72,,SV - SPORT UTILITY VEHICLE,53,No Data,No Data,W - WHITE,,53
19652820,N - NOT INJURED,18:56:00,TUESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,1 - DRY,No Data,92,1 - CLEAR,PK - PICKUP,36,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,61
19619824,C - POSSIBLE INJURY,13:35:00,MONDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,50,1 - DRY,No Data,72,1 - CLEAR,VN - VAN,4,No Data,No Data,W - WHITE,2 - FEMALE,13
19549607,N - NOT INJURED,17:00:00,SUNDAY,OTHER - BOTH BACKING,-1,1 - DRY,No Data,No Data,1 - CLEAR,,57,No Data,97 - NOT APPLICABLE,,2 - FEMALE,709
19524493,N - NOT INJURED,,WEDNESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,60,1 - DRY,No Data,48,,,No Data,,No Data,99 - UNKNOWN,2 - FEMALE,0
19712250,N - NOT INJURED,08:00:00,SATURDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,50,1 - DRY,No Data,72,1 - CLEAR,99 - UNKNOWN,,No Data,97 - NOT APPLICABLE,99 - UNKNOWN,99 - UNKNOWN,44
19596766,A - SUSPECTED SERIOUS INJURY,21:30:00,SUNDAY,ONE MOTOR VEHICLE - TURNING RIGHT,60,1 - DRY,No Data,48,2 - CLOUDY,No Data,,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,120
19494474,C - POSSIBLE INJURY,13:46:00,MONDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,50,1 - DRY,No Data,48,,SV - SPORT UTILITY VEHICLE,72,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,28
19583090,N - NOT INJURED,07:16:00,MONDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,1 - DRY,No Data,72,2 - CLOUDY,PK - PICKUP,24,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,134
19650899,B - SUSPECTED MINOR INJURY,19:55:00,FRIDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,55,1 - DRY,No Data,20,1 - CLEAR,TR - TRUCK,35,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,53
19502775,K - FATAL INJURY,19:32:00,WEDNESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,65,1 - DRY,No Data,24,1 - CLEAR,PK - PICKUP,,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,234
19672301,A - SUSPECTED SERIOUS INJURY,07:04:00,THURSDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,50,1 - DRY,No Data,72,1 - CLEAR,,48,,No Data,W - WHITE,2 - FEMALE,42
19665606,N - NOT INJURED,,FRIDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,55,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",38,,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,49
19476650,N - NOT INJURED,14:50:00,WEDNESDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,35,1 - DRY,No Data,48,1 - CLEAR,99 - UNKNOWN,,No Data,97 - NOT APPLICABLE,99 - UNKNOWN,99 - UNKNOWN,34
19656119,B - SUSPECTED MINOR INJURY,18:08:00,MONDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,40,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,47
19590978,N - NOT INJURED,12:25:00,THURSDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,40,1 - DRY,No Data,No Data,1 - CLEAR,,,,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,53
19585972,N - NOT INJURED,16:00:00,MONDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,72,1 - CLEAR,99 - UNKNOWN,,No Data,97 - NOT APPLICABLE,99 - UNKNOWN,99 - UNKNOWN,0
19596746,N - NOT INJURED,16:00:00,SUNDAY,ONE MOTOR VEHICLE - OTHER,-1,1 - DRY,No Data,No Data,1 - CLEAR,PK - PICKUP,61,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,81
19677437,B - SUSPECTED MINOR INJURY,06:06:00,MONDAY,ANGLE - BOTH GOING STRAIGHT,50,1 - DRY,No Data,72,1 - CLEAR,SV - SPORT UTILITY VEHICLE,71,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,40
19585619,N - NOT INJURED,18:23:00,THURSDAY,OPPOSITE DIRECTION - BOTH GOING STRAIGHT,50,1 - DRY,No Data,48,,SV - SPORT UTILITY VEHICLE,43,No Data,97 - NOT APPLICABLE,W - WHITE,,83
19503046,N - NOT INJURED,16:23:00,FRIDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,1 - DRY,No Data,72,1 - CLEAR,PK - PICKUP,76,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,41
19717098,N - NOT INJURED,08:53:00,TUESDAY,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,55,1 - DRY,No Data,24,1 - CLEAR,,46,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,37
19640298,N - NOT INJURED,17:29:00,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,75,1 - DRY,No Data,48,,SV - SPORT UTILITY VEHICLE,10,No Data,No Data,,,41
19596886,N - NOT INJURED,17:00:00,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,35,2 - WET,No Data,No Data,2 - CLOUDY,99 - UNKNOWN,No Data,No Data,97 - NOT APPLICABLE,99 - UNKNOWN,99 - UNKNOWN,105
19629505,N - NOT INJURED,,SATURDAY,ANGLE - BOTH GOING STRAIGHT,55,1 - DRY,No Data,20,1 - CLEAR,SV - SPORT UTILITY VEHICLE,25,No Data,97 - NOT APPLICABLE,B - BLACK,1 - MALE,66
19610794,N - NOT INJURED,17:40:00,TUESDAY,ANGLE - ONE STRAIGHT-ONE RIGHT TURN,45,1 - DRY,No Data,72,,"P4 - PASSENGER CAR, 4-DOOR",21,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,90
19648838,N - NOT INJURED,12:52:00,FRIDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,30,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,11,No Data,No Data,H - HISPANIC,1 - MALE,29
19561758,N - NOT INJURED,04:40:00,TUESDAY,SAME DIRECTION - BOTH LEFT TURN,50,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",52,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,40
19507694,N - NOT INJURED,05:58:00,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,40,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",53,No Data,97 - NOT APPLICABLE,B - BLACK,1 - MALE,77
19508335,N - NOT INJURED,16:45:00,MONDAY,ONE MOTOR VEHICLE - BACKING,45,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,35,No Data,No Data,A - ASIAN,2 - FEMALE,52
19674022,N - NOT INJURED,13:15:00,FRIDAY,ONE MOTOR VEHICLE - TURNING LEFT,-1,1 - DRY,No Data,No Data,1 - CLEAR,VN - VAN,22,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,174
19585700,N - NOT INJURED,15:10:00,MONDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,50,1 - DRY,No Data,72,1 - CLEAR,"P2 - PASSENGER CAR, 2-DOOR",41,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,65
19549338,N - NOT INJURED,16:40:00,FRIDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,40,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",26,No Data,97 - NOT APPLICABLE,B - BLACK,2 - FEMALE,74
19561452,B - SUSPECTED MINOR INJURY,21:29:00,SUNDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,70,1 - DRY,No Data,No Data,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",54,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,45
19599381,N - NOT INJURED,16:52:00,FRIDAY,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,40,1 - DRY,No Data,No Data,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",19,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,25
19556794,N - NOT INJURED,21:43:00,SUNDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,30,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,16,No Data,No Data,B - BLACK,,29
19552345,N - NOT INJURED,10:30:00,THURSDAY,ONE MOTOR VEHICLE - TURNING LEFT,25,1 - DRY,No Data,No Data,1 - CLEAR,PK - PICKUP,33,No Data,97 - NOT APPLICABLE,W - WHITE,,87
19491535,B - SUSPECTED MINOR INJURY,14:51:00,,ANGLE - BOTH GOING STRAIGHT,45,1 - DRY,No Data,44,1 - CLEAR,SV - SPORT UTILITY VEHICLE,22,No Data,97 - NOT APPLICABLE,,2 - FEMALE,191
19480900,N - NOT INJURED,21:21:00,FRIDAY,ONE MOTOR VEHICLE - BACKING,35,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",No Data,No Data,No Data,B - BLACK,2 - FEMALE,74
19754689,B - SUSPECTED MINOR INJURY,08:10:00,FRIDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,,1 - CLEAR,PK - PICKUP,59,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,54
19511412,C - POSSIBLE INJURY,08:16:00,WEDNESDAY,ANGLE - BOTH GOING STRAIGHT,50,2 - WET,No Data,76,2 - CLOUDY,SV - SPORT UTILITY VEHICLE,22,No Data,97 - NOT APPLICABLE,,2 - FEMALE,33
19656118,C - POSSIBLE INJURY,14:55:00,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,55,1 - DRY,No Data,No Data,,"P4 - PASSENGER CAR, 4-DOOR",43,,97 - NOT APPLICABLE,B - BLACK,,98
19663314,N - NOT INJURED,14:40:00,THURSDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,45,1 - DRY,No Data,84,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",49,No Data,97 - NOT APPLICABLE,B - BLACK,2 - FEMALE,44
19492747,B - SUSPECTED MINOR INJURY,16:03:00,THURSDAY,ONE MOTOR VEHICLE - TURNING RIGHT,45,1 - DRY,No Data,48,1 - CLEAR,No Data,51,No Data,97 - NOT APPLICABLE,B - BLACK,1 - MALE,35
19739357,N - NOT INJURED,09:19:00,MONDAY,ANGLE - ONE RIGHT TURN-ONE LEFT TURN,45,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,26
19675703,N - NOT INJURED,07:03:00,SATURDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,72,,,30,No Data,97 - NOT APPLICABLE,,1 - MALE,60
19748776,N - NOT INJURED,10:06:00,SATURDAY,ANGLE - BOTH GOING STRAIGHT,30,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",61,No Data,97 - NOT APPLICABLE,,2 - FEMALE,759
19685932,N - NOT INJURED,06:25:00,FRIDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,1 - DRY,No Data,,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",50,No Data,No Data,W - WHITE,2 - FEMALE,39
19544991,C - POSSIBLE INJURY,11:59:00,,ONE MOTOR VEHICLE - TURNING LEFT,30,1 - DRY,No Data,No Data,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",80,No Data,,W - WHITE,2 - FEMALE,46
19653692,N - NOT INJURED,18:45:00,TUESDAY,SAME DIRECTION - BOTH LEFT TURN,70,1 - DRY,No Data,72,1 - CLEAR,,No Data,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,162
19763406,N - NOT INJURED,14:35:00,MONDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,30,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",22,No Data,97 - NOT APPLICABLE,,2 - FEMALE,25
19522959,B - SUSPECTED MINOR INJURY,00:03:00,SUNDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",17,No Data,,H - HISPANIC,1 - MALE,40
19710659,N - NOT INJURED,05:29:00,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,10,1 - DRY,No Data,No Data,1 - CLEAR,TT - TRUCK TRACTOR,55,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,26
19618496,N - NOT INJURED,18:00:00,SATURDAY,OTHER - ONE STRAIGHT-ONE ENTERING OR LEAVING PARKING SPACE,5,1 - DRY,No Data,No Data,1 - CLEAR,99 - UNKNOWN,No Data,No Data,97 - NOT APPLICABLE,,99 - UNKNOWN,32
19729559,C - POSSIBLE INJURY,14:59:00,SATURDAY,ANGLE - BOTH GOING STRAIGHT,50,1 - DRY,No Data,,1 - CLEAR,,24,No Data,,W - WHITE,1 - MALE,66
19735576,B - SUSPECTED MINOR INJURY,10:29:00,FRIDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,45,1 - DRY,No Data,28,1 - CLEAR,PK - PICKUP,21,No Data,No Data,H - HISPANIC,1 - MALE,32
19656196,N - NOT INJURED,,THURSDAY,SAME DIRECTION - BOTH LEFT TURN,45,1 - DRY,No Data,48,1 - CLEAR,SV - SPORT UTILITY VEHICLE,46,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,4
19744668,B - SUSPECTED MINOR INJURY,10:35:00,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,40,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",49,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,64
19690099,N - NOT INJURED,16:14:00,TUESDAY,ANGLE - ONE STRAIGHT-ONE RIGHT TURN,55,1 - DRY,No Data,26,1 - CLEAR,PK - PICKUP,31,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,20
19728061,N - NOT INJURED,,TUESDAY,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,30,1 - DRY,No Data,,1 - CLEAR,PK - PICKUP,18,No Data,97 - NOT APPLICABLE,,1 - MALE,39
19578243,N - NOT INJURED,17:18:00,WEDNESDAY,SAME DIRECTION - BOTH LEFT TURN,40,1 - DRY,No Data,No Data,1 - CLEAR,"P2 - PASSENGER CAR, 2-DOOR",,No Data,97 - NOT APPLICABLE,W - WHITE,,42
19692826,N - NOT INJURED,19:50:00,SUNDAY,ANGLE - BOTH GOING STRAIGHT,35,1 - DRY,No Data,72,,,54,No Data,97 - NOT APPLICABLE,B - BLACK,,50
19754113,N - NOT INJURED,15:51:00,FRIDAY,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,35,1 - DRY,No Data,48,1 - CLEAR,PK - PICKUP,0,No Data,No Data,W - WHITE,2 - FEMALE,0
19657595,N - NOT INJURED,17:23:00,FRIDAY,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,10,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",,,97 - NOT APPLICABLE,B - BLACK,2 - FEMALE,27
19504100,N - NOT INJURED,10:33:00,SATURDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,35,1 - DRY,No Data,No Data,2 - CLOUDY,PK - PICKUP,42,No Data,,A - ASIAN,1 - MALE,65
19518182,N - NOT INJURED,15:58:00,FRIDAY,SAME DIRECTION - BOTH LEFT TURN,35,1 - DRY,No Data,72,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",18,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,42
19581658,A - SUSPECTED SERIOUS INJURY,23:31:00,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,70,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,18,No Data,97 - NOT APPLICABLE,98 - OTHER,,234
19549057,C - POSSIBLE INJURY,23:23:00,SATURDAY,ANGLE - BOTH GOING STRAIGHT,70,1 - DRY,No Data,52,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",29,,97 - NOT APPLICABLE,B - BLACK,1 - MALE,87
19750688,N - NOT INJURED,16:10:00,MONDAY,ONE MOTOR VEHICLE - TURNING LEFT,25,1 - DRY,No Data,No Data,2 - CLOUDY,SB - YELLOW SCHOOL BUS,14,No Data,No Data,H - HISPANIC,1 - MALE,50
19477967,N - NOT INJURED,15:30:00,THURSDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,35,1 - DRY,No Data,No Data,2 - CLOUDY,SV - SPORT UTILITY VEHICLE,44,No Data,97 - NOT APPLICABLE,W - WHITE,2 - FEMALE,0
19599890,C - POSSIBLE INJURY,08:32:00,WEDNESDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,35,1 - DRY,No Data,No Data,2 - CLOUDY,"P4 - PASSENGER CAR, 4-DOOR",29,No Data,No Data,,1 - MALE,48
19762738,N - NOT INJURED,17:24:00,THURSDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,50,1 - DRY,No Data,,1 - CLEAR,,27,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,32
19558277,C - POSSIBLE INJURY,12:12:00,MONDAY,ANGLE - BOTH GOING STRAIGHT,-1,1 - DRY,No Data,No Data,1 - CLEAR,,20,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,35
19684437,N - NOT INJURED,20:55:00,THURSDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,60,1 - DRY,No Data,48,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",15,No Data,No Data,H - HISPANIC,1 - MALE,52
19710168,B - SUSPECTED MINOR INJURY,19:31:00,FRIDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,50,1 - DRY,No Data,24,1 - CLEAR,PK - PICKUP,60,No Data,,W - WHITE,2 - FEMALE,32
19559044,N - NOT INJURED,16:45:00,FRIDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,35,2 - WET,No Data,No Data,3 - RAIN,SV - SPORT UTILITY VEHICLE,17,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,70
19662881,B - SUSPECTED MINOR INJURY,16:07:00,MONDAY,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,48,1 - CLEAR,,45,No Data,97 - NOT APPLICABLE,,2 - FEMALE,41
19572017,B - SUSPECTED MINOR INJURY,16:57:00,THURSDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,45,1 - DRY,No Data,48,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",32,No Data,97 - NOT APPLICABLE,A - ASIAN,1 - MALE,62
19680373,N - NOT INJURED,16:49:00,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,70,1 - DRY,No Data,48,1 - CLEAR,,2,No Data,No Data,W - WHITE,2 - FEMALE,51
19594795,N - NOT INJURED,20:11:00,SUNDAY,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,70,2 - WET,No Data,72,3 - RAIN,SV - SPORT UTILITY VEHICLE,20,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,55
19622351,N - NOT INJURED,20:21:00,SUNDAY,ANGLE - BOTH GOING STRAIGHT,35,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,56,No Data,97 - NOT APPLICABLE,W - WHITE,1 - MALE,122
19723208,B - SUSPECTED MINOR INJURY,17:46:00,FRIDAY,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,55,1 - DRY,No Data,24,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",30,No Data,97 - NOT APPLICABLE,W - WHITE,,51
19473011,C - POSSIBLE INJURY,07:30:00,MONDAY,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,55,2 - WET,No Data,48,1 - CLEAR,SV - SPORT UTILITY VEHICLE,15,No Data,No Data,W - WHITE,1 - MALE,45
19667299,N - NOT INJURED,12:59:00,SUNDAY,ANGLE - BOTH GOING STRAIGHT,35,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,46,No Data,97 - NOT APPLICABLE,,1 - MALE,41
19548914,N - NOT INJURED,14:24:00,,ANGLE - BOTH GOING STRAIGHT,40,1 - DRY,No Data,No Data,1 - CLEAR,"P4 - PASSENGER CAR, 4-DOOR",21,No Data,No Data,H - HISPANIC,1 - MALE,51
19486624,N - NOT INJURED,22:09:00,TUESDAY,ANGLE - ONE STRAIGHT-ONE LEFT TURN,35,1 - DRY,No Data,No Data,1 - CLEAR,SV - SPORT UTILITY VEHICLE,45,No Data,97 - NOT APPLICABLE,H - HISPANIC,1 - MALE,57
